hotel_name,location,price,room_type,beds,rating,rating_title,number_of_ratings,per_night
Mandaren Suites,Taif,280,One-Bedroom Apartment,1,8.7,Fabulous,251,1
Nozol Royal Inn Hotel,Madinah,189,Quadruple Room with Bathroom,4,7.0,Good,4108,1
Al Atlal Hotel,Al Khobar,207,Double Room,1,6.9,Review score,1353,1
منتجع ومزرعة الرند العلا,Al Ula,1250,Two-Bedroom Chalet without pool,5,7.2,Good,8,1
Zahrat Rozah By Quiet Rooms,Riyadh,189,One-Bedroom Apartment,2,6.7,Review score,346,1
Al Eairy Apartments- Tabuk 4,Tabuk,150,Apartment,3,5.0,Review score,327,1
فندق عروق الذهب المكية 1,Makkah,57,Double Room with Private Bathroom,2,7.2,Good,65,1
Methaq Hotel Suites,Riyadh,230,One-Bedroom Apartment,1,6.7,Review score,260,1
Al Safa Hotel Suites,Jazan,151,One-Bedroom Apartment,2,7.5,Good,1331,1
Golden Tulip Al Waha Hotel - Unayzah,Unayzah,350,Standard King Room,1,8.9,Fabulous,44,1
Nawazi Ajyad Hotel,Makkah,123,Double Room,1,6.3,Review score,3674,1
أبهى رفاف خميس مشيط,Khamis Mushayt,79,Budget Double Room,1,4.0,Review score,14,1
Dar Sadan Hotel Suites,Al Bukayriyah,220,Studio,1,7.5,Good,221,1
Rotana Hotel,Jeddah,161,Superior Twin Room,2,7.7,Good,1130,1
Capital O 419 Al Safeer Hotel,Riyadh,120,Standard Studio,2,5.9,Review score,1204,1
استراحة روح ابحر,Jeddah  ,720,Two-Bedroom Chalet,4,6.8,Review score,5,1
Pullman ZamZam Makkah,Makkah,330,Superior Twin Room with Partial Haram View,2,7.2,Good,23493,1
Swissotel Al Maqam Makkah,Makkah,360,Classic Twin Room with Haram View,2,8.3,Very good,21957,1
فندق المختارون بلازا,Makkah,60,Deluxe Double Room,1,6.8,Review score,145,1
Rawasi Hotel Suites 3 (For Families Only),Jeddah,250,Two-Bedroom Apartment,3,7.6,Good,264,1
Samaya Royal Afif,Afīf,170,Superior Apartment,2,8.3,Very good,253,1
RAK Hotel-Aparts,Jeddah,218,Premiere Double Room,1,7.4,Good,1361,1
Lavent Park Hotel Suites,Jeddah,210,Standard King Room,1,7.2,Good,548,1
دار كنان للوحدات السكنية,Jeddah,93,Budget Room,1,6.2,Review score,1020,1
Al Muhaidb Al Hada Resort,Taif,236,Economy Double Room,1,7.8,Good,802,1
Spectrums Residence Managed by The Ascott Limited,Jeddah,405,One-Bedroom Apartment,1,8.2,Very good,1524,1
القصر للأجنحة الفندقية 9 البديع,Abha  ,565,Junior Suite,2,9.4,Superb,20,1
شقة شاطئ النخيل,Jeddah ,514,Three-Bedroom Apartment,7,8.3,Very good,26,1
Dana Hotel & Residences 2,Riyadh ,270,One-Bedroom Suite,2,9.2,Superb,345,1
Hotel Ritaj Alsahel,Yanbu  ,200,Deluxe Room,1,7.9,Good,849,1
سكن وسط الطبيعة,Jeddah,372,One-Bedroom House,2,9.7,Exceptional,6,1
Diamond Elite Hotel,Jazan  ,225,Twin Room,2,8.2,Very good,1272,1
حياة ريف للوحدات السكنية,Jeddah,143,One-Bedroom Apartment,2,7.7,Good,278,1
Ewaa Express Hotel - Gaber,Riyadh  ,375,Suite,1,8.9,Fabulous,562,1
"Radisson Blu Residence, Dhahran", Al Khobar ,349,Standard Room,1,8.3,Very good,2955,1
Al kharboush For Furnished Units,Hafr Al Baten  ,148,Deluxe Room (2 Adults + 1 Child),1,8.2,Very good,824,1
