hotel_name,location,price,room_type,beds,rating,rating_title,number_of_ratings,per_night,Log_number_of_ratings,Log_price
Jinan Al Nakhil Apartment Hotel,Al Muzahimiyah,193,Superior Suite,1,8.6,Fabulous,117,1,4.762173934797756,5.262690188904886
شاليه ودق,Buraydah,400,Double or Twin Room,2,0.0,Very good,0,1,-inf,5.991464547107982
The District Hotel Najran,Najran,421,Executive Suite with City View,1,8.4,Good,993,1,6.900730664045173,6.042632833682381
Asia Hotel,Riyadh,115,Standard Studio,1,5.5,Very good,304,1,5.717027701406222,4.74493212836325
سفن سيز 2 للوحدات السكينه,Jeddah,128,Studio,1,5.5,Very good,236,1,5.4638318050256105,4.852030263919617
Freesia Hotel,Jeddah,234,Deluxe King Studio,1,7.8,Good,59,1,4.07753744390572,5.455321115357702
Pearl of Vision Hotel,Jeddah,153,Standard Double Room,1,8.5,Good,134,1,4.897839799950911,5.030437921392435
Pullman Zamzam Madina,Madinah,280,Classic Twin Room with Patio View,2,8.1,Good,12774,1,9.455167134121535,5.634789603169249
Al Eairy Apartments - Al Taif,Taif,95,Double or Twin Room,1,5.3,Very good,865,1,6.762729506931879,4.553876891600541
Danar Hotel Apartments 5,Riyadh,249,Double Room,1,6.5,Very good,724,1,6.584791392385716,5.517452896464707
شقق فندقية سبيل,Khamis Mushayt,85,Deluxe Queen Room,1,6.4,Very good,138,1,4.927253685157205,4.442651256490317
Raoum Inn - Hawtah Bani Tamim,Al Hillah,165,One-Bedroom Suite,1,6.4,Very good,126,1,4.836281906951478,5.10594547390058
Safa Albawadi,Jeddah,130,Twin Room,2,7.6,Good,773,1,6.650279048587422,4.867534450455582
Iwaa Alkharj Apartments,Riyadh,160,Deluxe Queen Room,1,7.8,Good,408,1,6.0112671744041615,5.075173815233827
Lavana Furnished Apartments Salam,Jeddah,152,Studio,1,7.9,Good,796,1,6.679599185844383,5.0238805208462765
Bay La Sun Hotel and Marina - KAEC,King Abdullah Economic,705,Deluxe Double Room with City View,1,8.2,Good,9052,1,9.110741006753427,6.558197802812269
Vision of Onaizah Furnished Units,Unayzah,153,Twin Room,2,8.2,Good,830,1,6.721425700790643,5.030437921392435
Rafa Homes,Riyadh,318,One-Bedroom Apartment,1,7.5,Good,915,1,6.818924065275521,5.762051382780177
فندق لافندر,Taif,229,Studio Apartment,1,8.3,Good,633,1,6.450470422144176,5.43372200355424
Dar Al Naem Hotel,Madinah,150,Standard Twin Room,2,6.4,Very good,1373,1,7.224753405767971,5.0106352940962555
Executives Hotel - Azizia,Riyadh,279,Standard Double Room,1,8.0,Good,2709,1,7.904334842085095,5.631211781821365
فندق المحمل العصري,Sharurah Show on map,150,Double Room,1,0.0,Very good,0,1,-inf,5.0106352940962555
Baylasun Life,King Abdullah Economic City,760,One-Bedroom Apartment,3,8.7,Fabulous,72,1,4.276666119016055,6.633318433280377
Gardens View,Taif,216,Standard Studio,1,7.3,Good,318,1,5.762051382780177,5.375278407684165
Hotel Qal'aat AlKhafji,AlKhafji,269,Deluxe Double Room,2,7.0,Good,6,1,1.791759469228055,5.594711379601839
Al Muhaidb Residence Al Takhassusi,Riyadh,250,Club Double Room,1,6.9,Very good,1092,1,6.9957661563048505,5.521460917862246
Al Hayatt Plus,Madinah,175,Economy Double Room,2,6.9,Very good,2304,1,7.742402021815782,5.1647859739235145
Al Eairy Furnished Apartments- Jeddah 2,Jeddah,100,Small Double Room,1,5.2,Very good,879,1,6.778784897685177,4.605170185988092
اوج للأجنحة الفندقية,Jazan,465,Standard Studio,1,8.9,Fabulous,40,1,3.6888794541139363,6.142037405587356
Ramada by Wyndham Dammam Khaleej Road,Dammam,210,Queen Room - Smoking,1,6.9,Very good,4808,1,8.478036476215044,5.3471075307174685
سويت ان العلا للشقق المفروشة الخاصة Sweet In alula Apartments and organizing tours,Al Ula,620,Three-Bedroom Apartment,8,7.6,Good,163,1,5.093750200806762,6.429719478039138
La fontaine Opal,Jeddah,280,Standard Double or Twin Room,1,8.2,Good,299,1,5.700443573390687,5.634789603169249
شالية مارينا,Al Muwayh,1000,Two-Bedroom Chalet,3,0.0,Very good,0,1,-inf,6.907755278982137
استراحة الخير,Riyadh,240,Two-Bedroom Chalet,5,0.0,Very good,0,1,-inf,5.480638923341991
دار العلاية,Sabt Alalayah,162,One-Bedroom Apartment,1,6.2,Very good,68,1,4.219507705176107,5.087596335232384
OYO 114 Dome Hotel Al Sulaimaniah,Riyadh,270,Two Bedroom Apartment,3,7.2,Good,2839,1,7.951207156472972,5.598421958998375
Ghoson Al Zaitoun Furnished Units,Sakakah,130,Double Room,1,7.1,Good,51,1,3.9318256327243257,4.867534450455582
Lamar Al Bawadi Hotel,Jeddah,285,Executive Suite,1,8.0,Good,1664,1,7.416979621381154,5.652489180268651
Home Inn Hotel Suites,Riyadh ,210,Junior Suite,2,8.7,Fabulous,818,1,6.706862336602747,5.3471075307174685
شاليهات فلورنيسا الطائف,Taif,1000,Deluxe King Room,1,8.5,Good,6,1,1.791759469228055,6.907755278982137
TRAMONTANE,Hail,231,Standard Double Room,1,8.5,Good,853,1,6.748759547491679,5.442417710521793
Relax Day Hotel,Tabuk,250,Economy Double Room,2,7.0,Good,278,1,5.627621113690637,5.521460917862246
Al Musafer Hotel Riyadh,Riyadh,142,Twin Room,2,5.9,Very good,608,1,6.410174881966167,4.955827057601261
"Radisson Blu Hotel, Yanbu",Yanbu,420,Standard Room,1,6.6,Very good,2434,1,7.797291273547472,6.040254711277414
Al Diafah Hotel Suites,Riyadh,230,Standard Double Room,1,7.1,Good,730,1,6.593044534142437,5.438079308923196
مشارف الفخامة,Ahad Rafidah,180,Double Room,1,7.8,Good,138,1,4.927253685157205,5.19295685089021
Hilton Garden Inn Riyadh Financial District,Riyadh,539,King Room,1,7.4,Good,700,1,6.551080335043404,6.289715570908998
Areej Hotel,Makkah,55,Double Room with Private Bathroom,2,6.3,Very good,239,1,5.476463551931511,4.007333185232471
Al Rabwah House,Riyadh,180,One-Bedroom Apartment,2,6.5,Very good,4,1,1.3862943611198906,5.19295685089021
Naviti Warwick Dammam,Dammam,289,Standard Double Room,1,7.8,Good,3572,1,8.18088094199639,5.666426688112432
Nadra Furnished Apartments,Taif,280,Two-Bedroom Apartment,3,6.8,Very good,268,1,5.5909869805108565,5.634789603169249
