hotel_name,location,price,room_type,beds,rating,rating_title,number_of_ratings,Size_m2
Saray Chalet at Amwaj Resort شاليه ساراي في منتجع أمواج للعائلات فقط,Al Khobar,4079,Four-Bedroom House,7,8.3,Good,12,28
Shams W Qamar Chalets,Taif,1170,One-Bedroom Chalet,5,8.5,Good,20,40
فندق حياة تاون,Umm Lajj,629,Deluxe Suite,2,7.3,Good,8,28
Luqya Hotel Suites,Jeddah ,140,Studio Apartment,1,7.6,Good,97,28
Kadi Hotel,Najran,177,One-Bedroom Suite,2,7.8,Good,44,35
فلل المدينة العاليةVIP,Abha,3200,Two-Bedroom Villa,3,0.0,Very good,0,29
Tanuma Aram Hospitality - Hotel Apartments,Tanomah,247,Studio with Mountain View,1,8.2,Good,1005,35
Al Farhan Dumah Al Jandal,Dawmat al Jandal,179,Deluxe Apartment,2,8.2,Good,105,30
Al Meshan Hotel,Madinah,120,Double or Twin Room with Bathroom,1,6.8,Very good,55,37
فندق الكامل,Makkah,250,Double or Twin Room,1,8.6,Fabulous,52,28
فندق بلانتي,Makkah,136,Basic Triple Room,3,8.0,Good,85,55
فندق برج الإبريز,Baish,238,King Room,1,7.7,Good,186,28
Raoum Inn Shaqra,Shaqra,150,Superior Double Room,1,6.6,Very good,188,28
Al Lord Hotel,Hafr Al Baten,200,Studio Apartment,1,7.6,Good,89,35
Asfar Hotel Suites,Shaqra  ,241,Standard Suite,1,8.9,Fabulous,214,29
Khabti Grand Hotel,Bishah,400,Budget Double Room,1,8.3,Good,1310,35
Golden Sea Hotel,Obhor ,340,Junior Suite,1,8.2,Good,172,30
Desert Rose Motel,Al Ghat,150,Family Room with Private Bathroom,1,0.0,Very good,0,37
Golden Dune Hotel,Turayf,250,Small Double Room,1,9.0,Superb,1735,28
قصر البالود 2,Riyadh,127,Budget Double Room,1,8.9,Fabulous,228,30
العييري للوحدات المفروشة الباحة3,Buraydah,110,Double Room with Private Bathroom,2,3.7,Very good,72,44
