hotel_name,location,price,room_type,beds,rating,rating_title,number_of_ratings,Size_m2
Diamond Suites,Madinah,156,Economy Double Room,1,7.1,Good,144,28
شاليهات نيو فيو الفندقيه,Taif,675,One-Bedroom Chalet,2,0.0,Very good,0,140
Jinan Al Nakhil Apartment Hotel,Al Muzahimiyah,193,Superior Suite,1,8.6,Fabulous,117,28
شاليه ودق,Buraydah,400,Double or Twin Room,2,0.0,Very good,0,28
The District Hotel Najran,Najran,421,Executive Suite with City View,1,8.4,Good,993,35
Asia Hotel,Riyadh,115,Standard Studio,1,5.5,Very good,304,29
سفن سيز 2 للوحدات السكينه,Jeddah,128,Studio,1,5.5,Very good,236,35
Freesia Hotel,Jeddah,234,Deluxe King Studio,1,7.8,Good,59,30
Pearl of Vision Hotel,Jeddah,153,Standard Double Room,1,8.5,Good,134,37
Pullman Zamzam Madina,Madinah,280,Classic Twin Room with Patio View,2,8.1,Good,12774,39
Al Eairy Apartments - Al Taif,Taif,95,Double or Twin Room,1,5.3,Very good,865,50
Danar Hotel Apartments 5,Riyadh,249,Double Room,1,6.5,Very good,724,28
شقق فندقية سبيل,Khamis Mushayt,85,Deluxe Queen Room,1,6.4,Very good,138,28
Raoum Inn - Hawtah Bani Tamim,Al Hillah,165,One-Bedroom Suite,1,6.4,Very good,126,35
Safa Albawadi,Jeddah,130,Twin Room,2,7.6,Good,773,29
Iwaa Alkharj Apartments,Riyadh,160,Deluxe Queen Room,1,7.8,Good,408,35
Lavana Furnished Apartments Salam,Jeddah,152,Studio,1,7.9,Good,796,28
Bay La Sun Hotel and Marina - KAEC,King Abdullah Economic,705,Deluxe Double Room with City View,1,8.2,Good,9052,28
Vision of Onaizah Furnished Units,Unayzah,153,Twin Room,2,8.2,Good,830,35
Rafa Homes,Riyadh,318,One-Bedroom Apartment,1,7.5,Good,915,29
فندق لافندر,Taif,229,Studio Apartment,1,8.3,Good,633,35
Dar Al Naem Hotel,Madinah,150,Standard Twin Room,2,6.4,Very good,1373,30
Executives Hotel - Azizia,Riyadh,279,Standard Double Room,1,8.0,Good,2709,37
فندق المحمل العصري,Sharurah Show on map,150,Double Room,1,0.0,Very good,0,28
Baylasun Life,King Abdullah Economic City,760,One-Bedroom Apartment,3,8.7,Fabulous,72,40
Gardens View,Taif,216,Standard Studio,1,7.3,Good,318,28
Hotel Qal'aat AlKhafji,AlKhafji,269,Deluxe Double Room,2,7.0,Good,6,28
Al Muhaidb Residence Al Takhassusi,Riyadh,250,Club Double Room,1,6.9,Very good,1092,28
Al Hayatt Plus,Madinah,175,Economy Double Room,2,6.9,Very good,2304,35
Al Eairy Furnished Apartments- Jeddah 2,Jeddah,100,Small Double Room,1,5.2,Very good,879,29
اوج للأجنحة الفندقية,Jazan,465,Standard Studio,1,8.9,Fabulous,40,35
Ramada by Wyndham Dammam Khaleej Road,Dammam,210,Queen Room - Smoking,1,6.9,Very good,4808,30
سويت ان العلا للشقق المفروشة الخاصة Sweet In alula Apartments and organizing tours,Al Ula,620,Three-Bedroom Apartment,8,7.6,Good,163,37
La fontaine Opal,Jeddah,280,Standard Double or Twin Room,1,8.2,Good,299,28
شالية مارينا,Al Muwayh,1000,Two-Bedroom Chalet,3,0.0,Very good,0,55
استراحة الخير,Riyadh,240,Two-Bedroom Chalet,2,0.0,Very good,0,48
دار العلاية,Sabt Alalayah,162,One-Bedroom Apartment,1,6.2,Very good,68,28
OYO 114 Dome Hotel Al Sulaimaniah,Riyadh,270,Two Bedroom Apartment,3,7.2,Good,2839,35
Ghoson Al Zaitoun Furnished Units,Sakakah,130,Double Room,1,7.1,Good,51,29
Lamar Al Bawadi Hotel,Jeddah,285,Executive Suite,1,8.0,Good,1664,35
Home Inn Hotel Suites,Riyadh ,210,Junior Suite,2,8.7,Fabulous,818,30
شاليهات فلورنيسا الطائف,Taif,1000,Deluxe King Room,1,8.5,Good,6,100
TRAMONTANE,Hail,231,Standard Double Room,1,8.5,Good,853,28
Relax Day Hotel,Tabuk,250,Economy Double Room,2,7.0,Good,278,28
Al Musafer Hotel Riyadh,Riyadh,142,Twin Room,2,5.9,Very good,608,35
"Radisson Blu Hotel, Yanbu",Yanbu,420,Standard Room,1,6.6,Very good,2434,29
Al Diafah Hotel Suites,Riyadh,230,Standard Double Room,1,7.1,Good,730,35
مشارف الفخامة,Ahad Rafidah,180,Double Room,1,7.8,Good,138,30
